157.00950899999998,(ドル),※インボイス08・65だけドル,,,,ルカ宛発送管理,ルカ・自社サイト,ルカ・インスタ,ルカ共有スプシ,
182.6305,(ユーロ),,,,,https://docs.google.com/spreadsheets/d/133cDct4krrsJDeXpO9l0fIrd3-ZYDc39u6-JpQvcxv4/edit?gid=825416529#gid=825416529,PS Vita 2000 in khaki schwarz gemoddet - 3DSRenew,https://www.instagram.com/3dsrenew/,Shipping Management,
,,,,,,,,,,
New 3DS LL,販売価格,販売価格(￥),インボイス,日付,,New 2DS LL,販売価格,販売価格(￥),インボイス,日付
〃,115,21002.5075,0041,Sun Sep 08 2024 00:00:00 GMT+0900 (Japan Standard Time),,8GB,5,913.1525,0018,Sun Jul 07 2024 00:00:00 GMT+0900 (Japan Standard Time)
,,,,,,16GB,10,1826.305,0018,Sun Jul 07 2024 00:00:00 GMT+0900 (Japan Standard Time)
ブラック,105,19176.202500000003,0016,Sun Jul 07 2024 00:00:00 GMT+0900 (Japan Standard Time),,32GB,20,3652.61,0018,Sun Jul 07 2024 00:00:00 GMT+0900 (Japan Standard Time)
,,,,,,,,,,
ホワイト,105,19176.202500000003,0016,Sun Jul 07 2024 00:00:00 GMT+0900 (Japan Standard Time),,,,,,
〃,〃,〃,0026,Wed Jul 31 2024 00:00:00 GMT+0900 (Japan Standard Time),,,,,,
〃,108,19724.094,0041,Sun Sep 08 2024 00:00:00 GMT+0900 (Japan Standard Time),,,,,,
〃,112,20454.616,0049,Mon Sep 23 2024 00:00:00 GMT+0900 (Japan Standard Time),,,,,,
,,,,,,,,,,
ライトブルー・ホワイト,105,19176.202500000003,0016,Sun Jul 07 2024 00:00:00 GMT+0900 (Japan Standard Time),,,,,,
〃,100,18263.050000000003,0041,Sun Sep 08 2024 00:00:00 GMT+0900 (Japan Standard Time),,,,,,
,,,,,,,,,,
アクアブルー,105,19176.202500000003,0020,Sun Jul 14 2024 00:00:00 GMT+0900 (Japan Standard Time),,,,,,
〃,108,19724.094,0041,Sun Sep 08 2024 00:00:00 GMT+0900 (Japan Standard Time),,,,,,
〃,110,20089.355,0049,Mon Sep 23 2024 00:00:00 GMT+0900 (Japan Standard Time),,,,,,
,,,,,,,,,,
ブルー・ブラック,110,20089.355,0026,Wed Jul 31 2024 00:00:00 GMT+0900 (Japan Standard Time),,,,,,
〃,108,19724.094,0041,Sun Sep 08 2024 00:00:00 GMT+0900 (Japan Standard Time),,,,,,
,,,,,,,,,,
カーキ,115,21002.5075,0026,Wed Jul 31 2024 00:00:00 GMT+0900 (Japan Standard Time),,,,,,
,,,,,,,,,,
シルバー,125,22828.8125,26・86,7/31・11/5,,,,,,
,,,,,,,,,,
ネオンオレンジ,115,21002.5075,0041,Sun Sep 08 2024 00:00:00 GMT+0900 (Japan Standard Time),,,,,,
,,,,,,,,,,
ピンクホワイト,108,19724.094,0041,Sun Sep 08 2024 00:00:00 GMT+0900 (Japan Standard Time),,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PSPGO,販売価格,販売価格(￥),インボイス,日付,,,,,,
ブラック,120,21915.66,0009,Mon Jun 24 2024 00:00:00 GMT+0900 (Japan Standard Time),,,,,,
,,,,,,,,,,
,,,,,,,,,,
PSP3000・1000,販売価格,販売価格(￥),インボイス,日付,,,,,,
ランダムカラー,70,12784.135,0009,Mon Jun 24 2024 00:00:00 GMT+0900 (Japan Standard Time),,,,,,
〃,70,12784.135,0036,Tue Aug 27 2024 00:00:00 GMT+0900 (Japan Standard Time),,,,,,
,,,,,,,,,,
バイブラント・ブルー,75,13697.2875,0037,Mon Aug 26 2024 00:00:00 GMT+0900 (Japan Standard Time),,,,,,
,,,,,,,,,,
3000ブラック,68,12418.874000000002,0053,Thu Sep 19 2024 00:00:00 GMT+0900 (Japan Standard Time),,,,,,
,,,,,,,,,,
PSP1000 ランダム,35,6392.0675,0077,Tue Nov 05 2024 00:00:00 GMT+0900 (Japan Standard Time),,,,,,
,,,,,,,,,,
,,,,,,,,,,
DSiLL,販売価格,販売価格(￥),インボイス,日付,,,,,,
ランダムカラー,55,10044.6775,0009,Mon Jun 24 2024 00:00:00 GMT+0900 (Japan Standard Time),,,,,,
,,,,,,,,,,
,,,,,,,,,,
ゲームボーイカラー,販売価格,販売価格(￥),インボイス,日付,,,,,,
ランダムカラー,48,8766.264000000001,0013,Wed Jul 03 2024 00:00:00 GMT+0900 (Japan Standard Time),,,,,,
,,,,,,,,,,
,,,,,,,,,,
Wii,販売価格,販売価格(￥),インボイス,日付,,,,,,
コントローラー(Pro),10,1826.305,0013,Wed Jul 03 2024 00:00:00 GMT+0900 (Japan Standard Time),,,,,,
〃,〃,〃,0022,Tue Jul 23 2024 00:00:00 GMT+0900 (Japan Standard Time),,,,,,
,,,,,,,,,,
コンソール,42,7670.481000000001,0022,Tue Jul 23 2024 00:00:00 GMT+0900 (Japan Standard Time),,,,,,
,,,,,,,,,,
モーションコントローラー&ヌンチャク,15,2739.4575,0029,Sat Aug 10 2024 00:00:00 GMT+0900 (Japan Standard Time),,,,,,
,,,,,,,,,,
コントローラー(プラスも)&ヌンチャク,17,3104.7185000000004,0060,Wed Oct 09 2024 00:00:00 GMT+0900 (Japan Standard Time),,,,,,
,,,,,,,,,,
,,,,,,,,,,
PS3,,,,,,,,,,
コントローラー,13,2374.1965,0036,Tue Aug 27 2024 00:00:00 GMT+0900 (Japan Standard Time),,,,,,
コントローラー,14,2556.827,48・67,9/23・10/24,,,,,,
