購入日,仕入れ先,商品名,URL,金額,メモ,種類,インボイス,出庫,,進捗
Mon Dec 15 2025 00:00:00 GMT+0900 (Japan Standard Time),アマゾン,PlayStationVita Wi-Fiモデル コズミック・レッド (PCH-1000 ZA03) 【メーカー生産終了】,https://www.amazon.co.jp/PlayStationVita-Wi-Fi%E3%83%A2%E3%83%87%E3%83%AB-%E3%82%B3%E3%82%BA%E3%83%9F%E3%83%83%E3%82%AF%E3%83%BB%E3%83%AC%E3%83%83%E3%83%89-PCH-1000-%E3%80%90%E3%83%A1%E3%83%BC%E3%82%AB%E3%83%BC%E7%94%9F%E7%94%A3%E7%B5%82%E4%BA%86%E3%80%91/dp/B009DD2PV2/ref=mp_s_a_1_5?crid=PYXLUL1BS6XI&dib=eyJ2IjoiMSJ9.C2o2livKLvAwXye3gxyLbKpSOC3hIfA-uwCMrULA1roxdCxUJZIfTPa_SU1QcCAvSEsbDNvWF8h_ZhhffXvS0NmiIU_lU_YxYPMipC4s5bu2WgH68nPj97GzW2E_KKOL7sQJDHqAGFOAfyYuPr4-8MdNbgsw1po90qh1VjE4rWzgyOe_mNpW0GJxdjdXKWhHaXT4cISmFDdlRmCHXD9h9A.kq3YpBNpXZnt8r6ZfFv3m8fZbjAzTOTh7R8rGYIUX2Q&dib_tag=se&keywords=Vita+1000&qid=1765765967&sprefix=vita+1000%2Caps%2C190&sr=8-5,19998,2台,コズミック・レッド,有,,39996,発送済
Mon Dec 15 2025 00:00:00 GMT+0900 (Japan Standard Time),ヤフオク,【動作確認済】 PlayStation Vita Wi-Fiモデル コズミック・レッド PCH-1000 ZA03,https://auctions.yahoo.co.jp/jp/auction/t1211765614,20520,500クーポン・1539P,コズミック・レッド,無,,20000,発送済
Mon Dec 15 2025 00:00:00 GMT+0900 (Japan Standard Time),メルカリ,【極美品】PSVITA PCH-1000 コズミックレッド　本体,https://jp.mercari.com/item/m76501898422,17799,,コズミック・レッド,無,,,発送済
Wed Dec 17 2025 00:00:00 GMT+0900 (Japan Standard Time),ペイペイフリマ,美品中古 PS Vita wifiモデル レッド PCH-1000 有機EL SONY,https://paypayfleamarket.yahoo.co.jp/item/z513696824?cpt_s=payf&cpt_m=share&cpt_n=item&cpt_c=android,18000,,コズミック・レッド,無,,,発送済
,,,インボイス有,196596,,,,,,
,,,インボイス無,116499,,,,,,
,,,,313095,,,,,,
,,,,,,,,,,
販売価格,為替,価格×為替×数量,仕入れ合計,還付,送料(1つ300円),還付込み利益,,,,
150,155.93,350842.5,313095,17872.363636363636,4500,51119.86363636363,,,,
