8/6までの購入数,,,合計購入数,累積販売台数,残,累積販売台数,8/7以降の購入数,Wed Aug 07 2024 00:00:00 GMT+0900 (Japan Standard Time),Wed Aug 14 2024 00:00:00 GMT+0900 (Japan Standard Time),Wed Aug 21 2024 00:00:00 GMT+0900 (Japan Standard Time),返品修理,Wed Aug 28 2024 00:00:00 GMT+0900 (Japan Standard Time),Wed Sep 04 2024 00:00:00 GMT+0900 (Japan Standard Time),Wed Sep 11 2024 00:00:00 GMT+0900 (Japan Standard Time),Wed Sep 18 2024 00:00:00 GMT+0900 (Japan Standard Time),Wed Sep 25 2024 00:00:00 GMT+0900 (Japan Standard Time),Tue Oct 08 2024 00:00:00 GMT+0900 (Japan Standard Time),10/4福山→東京在庫移管,Wed Oct 16 2024 00:00:00 GMT+0900 (Japan Standard Time),Thu Oct 24 2024 00:00:00 GMT+0900 (Japan Standard Time),福山→東京,Wed Oct 30 2024 00:00:00 GMT+0900 (Japan Standard Time),Wed Nov 06 2024 00:00:00 GMT+0900 (Japan Standard Time),Tue Nov 19 2024 00:00:00 GMT+0900 (Japan Standard Time),Wed Nov 27 2024 00:00:00 GMT+0900 (Japan Standard Time),Tue Dec 10 2024 00:00:00 GMT+0900 (Japan Standard Time),Wed Dec 18 2024 00:00:00 GMT+0900 (Japan Standard Time),Tue Dec 24 2024 00:00:00 GMT+0900 (Japan Standard Time),Tue Dec 31 2024 00:00:00 GMT+0900 (Japan Standard Time),Thu Jan 09 2025 00:00:00 GMT+0900 (Japan Standard Time),Sun Jan 19 2025 00:00:00 GMT+0900 (Japan Standard Time),Wed Jan 22 2025 00:00:00 GMT+0900 (Japan Standard Time)
発送済み,広島から発送,7014,スイッチライト,イエロー,1,57 30 34 71 13 20,エンベロープ,なし,https://s3-ap-northeast-1.amazonaws.com/hirogete-data-user/label-data/6272/MERGE-1724718798048-79ypf04pjus.pdf,,,,,,,,,,,,,,,,,,,,,,,
発送済み,広島から発送,7017,スイッチライト,コーラル,1,57 30 34 71 13 20,エンベロープ,なし,https://s3-ap-northeast-1.amazonaws.com/hirogete-data-user/label-data/6272/MERGE-1724718875813-zookyvex7wf.pdf,,,,,,,,,,,,,,,,,,,,,,,
発送済み,広島から発送,7021,スイッチライト,コーラル,1,57 30 34 71 13 20,エンベロープ,なし,https://s3-ap-northeast-1.amazonaws.com/hirogete-data-user/label-data/6272/MERGE-1724891853443-pmxs85dnvd.pdf,,,,,,,,,,,,,,,,,,,,,,,
発送済み,広島から発送,7023,スイッチライト,ターコイズ,1,57 30 34 71 13 20,エンベロープ,なし,https://s3-ap-northeast-1.amazonaws.com/hirogete-data-user/label-data/6272/MERGE-1724891979521-a7mrgws3ust.pdf,,,,,,,,,,,,,,,,,,,,,,,
発送済み,広島から発送,7033,スイッチライト,グレー,1,57 30 34 71 13 20,エンベロープ,なし,https://s3-ap-northeast-1.amazonaws.com/hirogete-data-user/label-data/6272/MERGE-1725237155449-yesy5gtjsim.pdf,,,,,,,,,,,,,,,,,,,,,,,
発送済み,広島から発送,7034,スイッチライト,ターコイズ,1,57 30 34 71 13 20,エンベロープ,なし,https://s3-ap-northeast-1.amazonaws.com/hirogete-data-user/label-data/6272/MERGE-1725237229623-tu7u7wkbi8.pdf,,,,,,,,,,,,,,,,,,,,,,,
発送済み,広島から発送,7035,スイッチライト,ターコイズ,1,57 30 34 71 13 20,エンベロープ,なし,https://s3-ap-northeast-1.amazonaws.com/hirogete-data-user/label-data/6272/MERGE-1725237321545-83wemkq3lb5.pdf,,,,,,,,,,,,,,,,,,,,,,,
発送済み,広島から発送,7040,スイッチライト,グレー,1,57 30 34 71 13 20,エンベロープ,なし,https://s3-ap-northeast-1.amazonaws.com/hirogete-data-user/label-data/6272/MERGE-1725237395519-o2vj8d3w8lr.pdf,,,,,,,,,,,,,,,,,,,,,,,
発送済み,広島から発送,7041,スイッチライト,イエロー,1,57 30 34 71 13 20,エンベロープ,なし,https://s3-ap-northeast-1.amazonaws.com/hirogete-data-user/label-data/6272/MERGE-1725237482578-clqnpmx5knj.pdf,,,,,,,,,,,,,,,,,,,,,,,
発送済み,広島から発送,7042,スイッチライト,イエロー,1,57 30 34 71 13 20,エンベロープ,なし,https://s3-ap-northeast-1.amazonaws.com/hirogete-data-user/label-data/6272/MERGE-1725237567153-2tj6a46juiv.pdf,,,,,,,,,,,,,,,,,,,,,,,
発送済み,広島から発送,7050,スイッチライト,ターコイズ,1,57 30 34 71 13 20,エンベロープ,なし,https://s3-ap-northeast-1.amazonaws.com/hirogete-data-user/label-data/6272/MERGE-1725324173984-f6kh2w6qril.pdf,,,,,,,,,,,,,,,,,,,,,,,
発送済み,広島から発送,7051,スイッチライト,コーラル,1,57 30 34 71 13 20,エンベロープ,なし,https://s3-ap-northeast-1.amazonaws.com/hirogete-data-user/label-data/6272/MERGE-1725324304246-e6b1ydkm7ao.pdf,,,,,,,,,,,,,,,,,,,,,,,
発送済み,広島から発送,7055,スイッチライト,コーラル,1,57 30 34 71 13 20,エンベロープ,なし,https://s3-ap-northeast-1.amazonaws.com/hirogete-data-user/label-data/6272/MERGE-1725410593885-6xix4hwlh9r.pdf,,,,,,,,,,,,,,,,,,,,,,,
発送済み,広島から発送,7058,スイッチライト,コーラル,1,57 30 34 71 13 20,エンベロープ,なし,https://s3-ap-northeast-1.amazonaws.com/hirogete-data-user/label-data/6272/MERGE-1725496514378-pz84ub4wdhh.pdf,,,,,,,,,,,,,,,,,,,,,,,
発送済み,広島から発送,7060,スイッチライト,ターコイズ,1,57 30 34 71 13 20,エンベロープ,なし,https://s3-ap-northeast-1.amazonaws.com/hirogete-data-user/label-data/6272/MERGE-1725581741671-z6my3b6uyv.pdf,,,,,,,,,,,,,,,,,,,,,,,
発送済み,広島から発送,7064,スイッチライト,イエロー,1,57 30 34 71 13 20,エンベロープ,なし,https://s3-ap-northeast-1.amazonaws.com/hirogete-data-user/label-data/6272/MERGE-1725843339889-6ntmm8odctr.pdf,,,,,,,,,,,,,,,,,,,,,,,
発送済み,広島から発送,7066,スイッチライト,ザシアン,1,57 30 34 71 13 20,エンベロープ,なし,https://s3-ap-northeast-1.amazonaws.com/hirogete-data-user/label-data/6272/MERGE-1725843412430-n9w8ydec7y.pdf,,,,,,,,,,,,,,,,,,,,,,,
発送済み,広島から発送,7068,スイッチライト,ターコイズ,1,57 30 34 71 13 20,エンベロープ,なし,https://s3-ap-northeast-1.amazonaws.com/hirogete-data-user/label-data/6272/MERGE-1725843488295-llyj90s4xin.pdf,,,,,,,,,,,,,,,,,,,,,,,
発送済み,広島から発送,7069,スイッチライト,ザシアン,1,57 30 34 71 13 20,エンベロープ,なし,https://s3-ap-northeast-1.amazonaws.com/hirogete-data-user/label-data/6272/MERGE-1725843549574-y6s4qh8h4qr.pdf,,,,,,,,,,,,,,,,,,,,,,,
発送済み,広島から発送,7070,スイッチライト,ターコイズ,1,57 30 34 71 13 20,エンベロープ,なし,https://s3-ap-northeast-1.amazonaws.com/hirogete-data-user/label-data/6272/MERGE-1725843611393-hp0zsvi1ppk.pdf,,,,,,,,,,,,,,,,,,,,,,,
発送済み,広島から発送,7077,スイッチライト,ターコイズ,1,57 30 34 71 13 20,エンベロープ,なし,https://s3-ap-northeast-1.amazonaws.com/hirogete-data-user/label-data/6272/MERGE-1725929485849-j6rtaosy9l.pdf,,,,,,,,,,,,,,,,,,,,,,,
発送済み,広島から発送,7080,スイッチライト,グレー,1,57 30 34 71 13 20,エンベロープ,なし,https://s3-ap-northeast-1.amazonaws.com/hirogete-data-user/label-data/6272/MERGE-1726015838207-p8rs3c7m22d.pdf,,,,,,,,,,,,,,,,,,,,,,,
発送済み,広島から発送,7095,スイッチライト,ブルー,1,57 30 34 71 13 20,エンベロープ,なし,https://s3-ap-northeast-1.amazonaws.com/hirogete-data-user/label-data/6272/MERGE-1726186946436-zvx7k3jotwh.pdf,,,,,,,,,,,,,,,,,,,,,,,
発送済み,広島から発送,7096,スイッチライト,ターコイズ,1,57 30 34 71 13 20,エンベロープ,なし,https://s3-ap-northeast-1.amazonaws.com/hirogete-data-user/label-data/6272/MERGE-1726187032597-2l4yhdwmxfc.pdf,,,,,,,,,,,,,,,,,,,,,,,
発送済み,広島から発送,7097,スイッチライト,グレー,1,57 30 34 71 13 20,エンベロープ,なし,https://s3-ap-northeast-1.amazonaws.com/hirogete-data-user/label-data/6272/MERGE-1726187120652-f6c2lelpava.pdf,,,,,,,,,,,,,,,,,,,,,,,
発送済み,広島から発送,7098,スイッチライト,コーラル,1,57 30 34 71 13 20,エンベロープ,なし,https://s3-ap-northeast-1.amazonaws.com/hirogete-data-user/label-data/6272/MERGE-1726187196541-xqyw5l9fm9h.pdf,,,,,,,,,,,,,,,,,,,,,,,
発送済み,広島から発送,7099,スイッチライト,グレー,1,57 30 34 71 13 20,エンベロープ,なし,https://s3-ap-northeast-1.amazonaws.com/hirogete-data-user/label-data/6272/MERGE-1726187332357-40iddrzhmog.pdf,,,,,,,,,,,,,,,,,,,,,,,
発送済み,広島から発送,7102,スイッチライト,コーラル,1,57 30 34 71 13 20,エンベロープ,なし,https://s3-ap-northeast-1.amazonaws.com/hirogete-data-user/label-data/6272/MERGE-1726187414646-w93go6qb8ug.pdf,,,,,,,,,,,,,,,,,,,,,,,
発送済み,広島から発送,7116,スイッチライト,ターコイズ,1,57 30 34 71 13 20,エンベロープ,なし,https://s3-ap-northeast-1.amazonaws.com/hirogete-data-user/label-data/6272/MERGE-1726533543279-oy195e533y.pdf,,,,,,,,,,,,,,,,,,,,,,,
発送済み,広島から発送,7117,スイッチライト,イエロー,1,57 30 34 71 13 20,エンベロープ,なし,https://s3-ap-northeast-1.amazonaws.com/hirogete-data-user/label-data/6272/MERGE-1726533751978-di11r581syj.pdf,,,,,,,,,,,,,,,,,,,,,,,
発送済み,広島から発送,7125,スイッチライト,ザシアン,1,57 30 34 71 13 20,エンベロープ,なし,https://s3-ap-northeast-1.amazonaws.com/hirogete-data-user/label-data/6272/MERGE-1726533880505-1jtx0qqhsge.pdf,,,,,,,,,,,,,,,,,,,,,,,
発送済み,広島から発送,7129,スイッチライト,グレー,1,57 30 34 71 13 20,エンベロープ,なし,https://s3-ap-northeast-1.amazonaws.com/hirogete-data-user/label-data/6272/MERGE-1726707186005-qr08t03a7qi.pdf,,,,,,,,,,,,,,,,,,,,,,,
発送済み,広島から発送,7139,スイッチライト,コーラル,1,57 30 34 71 13 20,エンベロープ,なし,https://s3-ap-northeast-1.amazonaws.com/hirogete-data-user/label-data/6272/MERGE-1726793837718-qohb2gsytv.pdf,,,,,,,,,,,,,,,,,,,,,,,
発送済み,広島から発送,7144,スイッチライト,ターコイズ,1,57 30 34 71 13 20,エンベロープ,なし,https://s3-ap-northeast-1.amazonaws.com/hirogete-data-user/label-data/6272/MERGE-1727136336732-9oojoukvkse.pdf,,,,,,,,,,,,,,,,,,,,,,,
発送済み,広島から発送,7145,スイッチライト,ザシアン,1,57 30 34 71 13 20,エンベロープ,なし,https://s3-ap-northeast-1.amazonaws.com/hirogete-data-user/label-data/6272/MERGE-1727136430010-dg9x7xhw6e8.pdf,,,,,,,,,,,,,,,,,,,,,,,
発送済み,広島から発送,7146,スイッチライト,ターコイズ,1,57 30 34 71 13 20,エンベロープ,なし,https://s3-ap-northeast-1.amazonaws.com/hirogete-data-user/label-data/6272/MERGE-1727136590692-jjwtqxsh86.pdf,,,,,,,,,,,,,,,,,,,,,,,
発送済み,広島から発送,7147,スイッチライト,ターコイズ,1,57 30 34 71 13 20,エンベロープ,なし,https://s3-ap-northeast-1.amazonaws.com/hirogete-data-user/label-data/6272/MERGE-1727136691387-vtrij9ohoyl.pdf,,,,,,,,,,,,,,,,,,,,,,,
発送済み,広島から発送,7149,スイッチライト,グレー,1,57 30 34 71 13 20,エンベロープ,なし,https://s3-ap-northeast-1.amazonaws.com/hirogete-data-user/label-data/6272/MERGE-1727137303580-hfpn9bipjeh.pdf,,,,,,,,,,,,,,,,,,,,,,,
発送済み,広島から発送,7151,スイッチライト,コーラル,1,57 30 34 71 13 20,エンベロープ,なし,https://s3-ap-northeast-1.amazonaws.com/hirogete-data-user/label-data/6272/MERGE-1727137752818-o5xh58kymud.pdf,,,,,,,,,,,,,,,,,,,,,,,
発送済み,広島から発送,7152,スイッチライト,グレー,1,57 30 34 71 13 20,エンベロープ,なし,https://s3-ap-northeast-1.amazonaws.com/hirogete-data-user/label-data/6272/MERGE-1727138368520-yyc08lv1qt.pdf,,,,,,,,,,,,,,,,,,,,,,,
発送済み,広島から発送,7153,スイッチライト,グレー,1,57 30 34 71 13 20,エンベロープ,なし,https://s3-ap-northeast-1.amazonaws.com/hirogete-data-user/label-data/6272/MERGE-1727138728946-891sey0yfkn.pdf,,,,,,,,,,,,,,,,,,,,,,,
発送済み,広島から発送,7155,スイッチライト,コーラル,1,57 30 34 71 13 20,エンベロープ,なし,https://s3-ap-northeast-1.amazonaws.com/hirogete-data-user/label-data/6272/MERGE-1727138874772-6p7a6xwse3x.pdf,,,,,,,,,,,,,,,,,,,,,,,
発送済み,広島から発送,7156,スイッチライト,ザシアン,1,57 30 34 71 13 20,エンベロープ,なし,https://s3-ap-northeast-1.amazonaws.com/hirogete-data-user/label-data/6272/MERGE-1727224517033-t5v2aqa7q7g.pdf,,,,,,,,,,,,,,,,,,,,,,,
発送済み,広島から発送,7158,スイッチライト,ターコイズ,1,57 30 34 71 13 20,エンベロープ,なし,https://s3-ap-northeast-1.amazonaws.com/hirogete-data-user/label-data/6272/MERGE-1727224740604-6cs438zvn22.pdf,,,,,,,,,,,,,,,,,,,,,,,
発送済み,広島から発送,7161,スイッチライト,ターコイズ,1,57 30 34 71 13 20,エンベロープ,なし,https://s3-ap-northeast-1.amazonaws.com/hirogete-data-user/label-data/6272/MERGE-1727398288665-nadg6fbp5m.pdf,,,,,,,,,,,,,,,,,,,,,,,
発送済み,広島から発送,7166,スイッチライト,ターコイズ,1,57 30 34 71 13 20,エンベロープ,なし,https://s3-ap-northeast-1.amazonaws.com/hirogete-data-user/label-data/6272/MERGE-1727655960020-6i1z9dr1opa.pdf,,,,,,,,,,,,,,,,,,,,,,,
発送済み,広島から発送,7168,スイッチライト,グレー,1,57 30 34 71 13 20,エンベロープ,なし,https://s3-ap-northeast-1.amazonaws.com/hirogete-data-user/label-data/6272/MERGE-1727656035563-fdpze618cg7.pdf,,,,,,,,,,,,,,,,,,,,,,,
発送済み,広島から発送,7169,スイッチライト,グレー,1,57 30 34 71 13 20,エンベロープ,なし,https://s3-ap-northeast-1.amazonaws.com/hirogete-data-user/label-data/6272/MERGE-1727656142569-3bu71ycipoy.pdf,,,,,,,,,,,,,,,,,,,,,,,
発送済み,広島から発送,7173,スイッチライト,グレー,1,57 30 34 71 13 20,エンベロープ,なし,https://s3-ap-northeast-1.amazonaws.com/hirogete-data-user/label-data/6272/MERGE-1727656293516-5ac58bjwgq.pdf,,,,,,,,,,,,,,,,,,,,,,,
発送済み,広島から発送,7174,スイッチライト,ターコイズ,1,57 30 34 71 13 20,エンベロープ,なし,https://s3-ap-northeast-1.amazonaws.com/hirogete-data-user/label-data/6272/MERGE-1727742106089-jv5wi53vsma.pdf,,,,,,,,,,,,,,,,,,,,,,,
発送済み,広島から発送,7175,スイッチライト,ターコイズ,1,57 30 34 71 13 20,エンベロープ,なし,https://s3-ap-northeast-1.amazonaws.com/hirogete-data-user/label-data/6272/MERGE-1727742931332-bhl115r8yic.pdf,,,,,,,,,,,,,,,,,,,,,,,
発送済み,広島から発送,7177,スイッチライト,グレー,1,57 30 34 71 13 20,エンベロープ,なし,https://s3-ap-northeast-1.amazonaws.com/hirogete-data-user/label-data/6272/MERGE-1727829855107-k7p8nlddjv.pdf,,,,,,,,,,,,,,,,,,,,,,,
発送済み,広島から発送,7180,スイッチライト,グレー,1,57 30 34 71 13 20,エンベロープ,なし,https://s3-ap-northeast-1.amazonaws.com/hirogete-data-user/label-data/6272/MERGE-1727916515887-aytoq1ckly9.pdf,,,,,,,,,,,,,,,,,,,,,,,
発送済み,広島から発送,7183,スイッチライト,ターコイズ,1,57 30 34 71 13 20,エンベロープ,なし,https://s3-ap-northeast-1.amazonaws.com/hirogete-data-user/label-data/6272/MERGE-1728261714049-z54g3er6tc.pdf,,,,,,,,,,,,,,,,,,,,,,,
発送済み,広島から発送,7185,スイッチライト,ターコイズ,1,57 30 34 71 13 20,エンベロープ,なし,https://s3-ap-northeast-1.amazonaws.com/hirogete-data-user/label-data/6272/MERGE-1728261838283-96mlttkkez.pdf,,,,,,,,,,,,,,,,,,,,,,,
発送済み,広島から発送,7191,スイッチライト,イエロー,1,57 30 34 71 13 20,エンベロープ,なし,https://s3-ap-northeast-1.amazonaws.com/hirogete-data-user/label-data/6272/MERGE-1728261944524-k6c5uvldycg.pdf,,,,,,,,,,,,,,,,,,,,,,,
発送済み,広島から発送,7192,スイッチライト,ブルー,1,57 30 34 71 13 20,エンベロープ,なし,https://s3-ap-northeast-1.amazonaws.com/hirogete-data-user/label-data/6272/MERGE-1728262023996-zflude60aoe.pdf,,,,,,,,,,,,,,,,,,,,,,,
発送済み,広島から発送,7194,スイッチライト,グレー,1,57 30 34 71 13 20,エンベロープ,なし,https://s3-ap-northeast-1.amazonaws.com/hirogete-data-user/label-data/6272/MERGE-1728348317571-vom244op41.pdf,,,,,,,,,,,,,,,,,,,,,,,
発送済み,広島から発送,7200,スイッチライト,ターコイズ,1,57 30 34 71 13 20,エンベロープ,なし,https://s3-ap-northeast-1.amazonaws.com/hirogete-data-user/label-data/6272/MERGE-1728607674860-zodj0nnbatn.pdf,,,,,,,,,,,,,,,,,,,,,,,
発送済み,広島から発送,7207,スイッチライト,イエロー,1,57 30 34 71 13 20,エンベロープ,なし,https://s3-ap-northeast-1.amazonaws.com/hirogete-data-user/label-data/6272/MERGE-1728950968014-gm4gweqcu8r.pdf,,,,,,,,,,,,,,,,,,,,,,,
発送済み,広島から発送,7208,スイッチライト,コーラル,1,57 30 34 71 13 20,エンベロープ,なし,https://s3-ap-northeast-1.amazonaws.com/hirogete-data-user/label-data/6272/MERGE-1728951049238-cstss360dx5.pdf,,,,,,,,,,,,,,,,,,,,,,,
発送済み,広島から発送,7209,スイッチライト,ターコイズ,1,57 30 34 71 13 20,エンベロープ,なし,https://s3-ap-northeast-1.amazonaws.com/hirogete-data-user/label-data/6272/MERGE-1728951154385-z6arzfugqz.pdf,,,,,,,,,,,,,,,,,,,,,,,
発送済み,広島から発送,7211,スイッチライト,ブルー,1,57 30 34 71 13 20,エンベロープ,なし,https://s3-ap-northeast-1.amazonaws.com/hirogete-data-user/label-data/6272/MERGE-1728951219613-ndk2p3g3dbr.pdf,,,,,,,,,,,,,,,,,,,,,,,
発送済み,広島から発送,7212,スイッチライト,ターコイズ,1,57 30 34 71 13 20,エンベロープ,なし,https://s3-ap-northeast-1.amazonaws.com/hirogete-data-user/label-data/6272/MERGE-1728951325417-1bmjcnshd6q.pdf,,,,,,,,,,,,,,,,,,,,,,,
発送済み,広島から発送,7213,スイッチライト,ターコイズ,1,57 30 34 71 13 20,エンベロープ,なし,https://s3-ap-northeast-1.amazonaws.com/hirogete-data-user/label-data/6272/MERGE-1728951402314-0ahkphzr75uc.pdf,,,,,,,,,,,,,,,,,,,,,,,
発送済み,広島から発送,7214,スイッチライト,コーラル,1,57 30 34 71 13 20,エンベロープ,なし,https://s3-ap-northeast-1.amazonaws.com/hirogete-data-user/label-data/6272/MERGE-1728951475787-iq6t0gxrslp.pdf,,,,,,,,,,,,,,,,,,,,,,,
発送済み,広島から発送,7216,スイッチライト,グレー,1,57 30 34 71 13 20,エンベロープ,なし,https://s3-ap-northeast-1.amazonaws.com/hirogete-data-user/label-data/6272/MERGE-1728951551222-86c6pmcicvv.pdf,,,,,,,,,,,,,,,,,,,,,,,
発送済み,広島から発送,7217,スイッチライト,イエロー,1,57 30 34 71 13 20,エンベロープ,なし,https://s3-ap-northeast-1.amazonaws.com/hirogete-data-user/label-data/6272/MERGE-1728951640315-zlam8u83p2k.pdf,,,,,,,,,,,,,,,,,,,,,,,
発送済み,広島から発送,7218,スイッチライト,イエロー,1,57 30 34 71 13 20,エンベロープ,なし,https://s3-ap-northeast-1.amazonaws.com/hirogete-data-user/label-data/6272/MERGE-1728951744168-jyncj5uxys.pdf,,,,,,,,,,,,,,,,,,,,,,,
発送済み,広島から発送,7220,スイッチライト,グレー,1,57 30 34 71 13 20,エンベロープ,なし,https://s3-ap-northeast-1.amazonaws.com/hirogete-data-user/label-data/6272/MERGE-1728954465221-c8d0wy8h624.pdf,,,,,,,,,,,,,,,,,,,,,,,
発送済み,広島から発送,7221,スイッチライト,グレー,1,57 30 34 71 13 20,エンベロープ,なし,https://s3-ap-northeast-1.amazonaws.com/hirogete-data-user/label-data/6272/MERGE-1729125188383-4l7zoi54wzq.pdf,,,,,,,,,,,,,,,,,,,,,,,
発送済み,広島から発送,7225,スイッチライト,ターコイズ,1,57 30 34 71 13 20,エンベロープ,なし,https://s3-ap-northeast-1.amazonaws.com/hirogete-data-user/label-data/6272/MERGE-1729470322776-z6cpsog4yao.pdf,,,,,,,,,,,,,,,,,,,,,,,
発送済み,広島から発送,7226,スイッチライト,グレー,1,57 30 34 71 13 20,エンベロープ,なし,https://s3-ap-northeast-1.amazonaws.com/hirogete-data-user/label-data/6272/MERGE-1729470597062-xp07zx5h7z.pdf,,,,,,,,,,,,,,,,,,,,,,,
発送済み,広島から発送,7228,スイッチライト,グレー,1,57 30 34 71 13 20,エンベロープ,なし,https://s3-ap-northeast-1.amazonaws.com/hirogete-data-user/label-data/6272/MERGE-1729471189310-7mlpsu6i58e.pdf,,,,,,,,,,,,,,,,,,,,,,,
発送済み,広島から発送,7234,スイッチライト,ザシアン,1,57 30 34 71 13 20,エンベロープ,なし,https://s3-ap-northeast-1.amazonaws.com/hirogete-data-user/label-data/6272/MERGE-1729556723853-24qrj0fnswi.pdf,,,,,,,,,,,,,,,,,,,,,,,
発送済み,広島から発送,7235,スイッチライト,グレー,1,57 30 34 71 13 20,エンベロープ,なし,https://s3-ap-northeast-1.amazonaws.com/hirogete-data-user/label-data/6272/MERGE-1729556830098-8n59p6hrzdx.pdf,,,,,,,,,,,,,,,,,,,,,,,
発送済み,広島から発送,7237,スイッチライト,イエロー,1,57 30 34 71 13 20,エンベロープ,なし,https://s3-ap-northeast-1.amazonaws.com/hirogete-data-user/label-data/6272/MERGE-1729556991929-0edyeub5de4a.pdf,,,,,,,,,,,,,,,,,,,,,,,
発送済み,広島から発送,7239,スイッチライト,ターコイズ,1,57 30 34 71 13 20,エンベロープ,なし,https://s3-ap-northeast-1.amazonaws.com/hirogete-data-user/label-data/6272/MERGE-1729557131656-zovx5frllbk.pdf,,,,,,,,,,,,,,,,,,,,,,,
発送済み,広島から発送,7242,スイッチライト,ターコイズ,1,57 30 34 71 13 20,エンベロープ,なし,https://s3-ap-northeast-1.amazonaws.com/hirogete-data-user/label-data/6272/MERGE-1729642358309-8thi12r33r5.pdf,,,,,,,,,,,,,,,,,,,,,,,
発送済み,広島から発送,7246,スイッチライト,ザシアン,1,57 30 34 71 13 20,エンベロープ,なし,https://s3-ap-northeast-1.amazonaws.com/hirogete-data-user/label-data/6272/MERGE-1729730273361-2znaqwdpblp.pdf,,,,,,,,,,,,,,,,,,,,,,,
発送済み,広島から発送,7256,スイッチライト,コーラル,1,57 30 34 71 13 20,エンベロープ,なし,https://s3-ap-northeast-1.amazonaws.com/hirogete-data-user/label-data/6272/MERGE-1730074537888-wy4nljftuzs.pdf,,,,,,,,,,,,,,,,,,,,,,,
発送済み,広島から発送,7257,スイッチライト,ターコイズ,1,57 30 34 71 13 20,エンベロープ,なし,https://s3-ap-northeast-1.amazonaws.com/hirogete-data-user/label-data/6272/MERGE-1730074771094-f6cbh033jho.pdf,,,,,,,,,,,,,,,,,,,,,,,
発送済み,広島から発送,7259,スイッチライト,イエロー,1,57 30 34 71 13 20,エンベロープ,なし,https://s3-ap-northeast-1.amazonaws.com/hirogete-data-user/label-data/6272/MERGE-1730074963362-5aahce424mk.pdf,,,,,,,,,,,,,,,,,,,,,,,
発送済み,広島から発送,7261,スイッチライト,ターコイズ,1,57 30 34 71 13 20,エンベロープ,なし,https://s3-ap-northeast-1.amazonaws.com/hirogete-data-user/label-data/6272/MERGE-1730160978740-vvcvcra10dj.pdf,,,,,,,,,,,,,,,,,,,,,,,
発送済み,広島から発送,7263,スイッチライト,イエロー,1,57 30 34 71 13 20,エンベロープ,なし,https://s3-ap-northeast-1.amazonaws.com/hirogete-data-user/label-data/6272/MERGE-1730333736124-c85zthtcsbl.pdf,,,,,,,,,,,,,,,,,,,,,,,
発送済み,広島から発送,7267,スイッチライト,グレー,1,57 30 34 71 13 20,エンベロープ,なし,https://s3-ap-northeast-1.amazonaws.com/hirogete-data-user/label-data/6272/MERGE-1730766185660-rj5iqog5ub.pdf,,,,,,,,,,,,,,,,,,,,,,,
発送済み,広島から発送,7269,スイッチライト,コーラル,1,57 30 34 71 13 20,エンベロープ,なし,https://s3-ap-northeast-1.amazonaws.com/hirogete-data-user/label-data/6272/MERGE-1730766345495-9gvypxn5jrh.pdf,,,,,,,,,,,,,,,,,,,,,,,
発送済み,広島から発送,7270,スイッチライト,ザシアン,1,57 30 34 71 13 20,エンベロープ,なし,https://s3-ap-northeast-1.amazonaws.com/hirogete-data-user/label-data/6272/MERGE-1730766500567-gf87uutqw6u.pdf,,,,,,,,,,,,,,,,,,,,,,,
発送済み,広島から発送,7271,スイッチライト,ターコイズ,1,57 30 34 71 13 20,エンベロープ,なし,https://s3-ap-northeast-1.amazonaws.com/hirogete-data-user/label-data/6272/MERGE-1730766616330-ilb5pijkvm.pdf,,,,,,,,,,,,,,,,,,,,,,,
発送済み,広島から発送,7272,スイッチライト,グレー,1,57 30 34 71 13 20,エンベロープ,なし,https://s3-ap-northeast-1.amazonaws.com/hirogete-data-user/label-data/6272/MERGE-1730766726256-kv42h8ku10a.pdf,,,,,,,,,,,,,,,,,,,,,,,
発送済み,広島から発送,7273,スイッチライト,コーラル,1,57 30 34 71 13 20,エンベロープ,なし,https://s3-ap-northeast-1.amazonaws.com/hirogete-data-user/label-data/6272/MERGE-1730766850239-rrcxojyfo9f.pdf,,,,,,,,,,,,,,,,,,,,,,,
発送済み,広島から発送,7276,スイッチライト,イエロー,1,57 30 34 71 13 20,エンベロープ,なし,https://s3-ap-northeast-1.amazonaws.com/hirogete-data-user/label-data/6272/MERGE-1730852539448-st0jtra1h3.pdf,,,,,,,,,,,,,,,,,,,,,,,
発送済み,広島から発送,7278,スイッチライト,イエロー,1,57 30 34 71 13 20,エンベロープ,なし,https://s3-ap-northeast-1.amazonaws.com/hirogete-data-user/label-data/6272/MERGE-1731024856787-ms6ji60yaec.pdf,,,,,,,,,,,,,,,,,,,,,,,
発送済み,広島から発送,7280,スイッチライト,イエロー,1,57 30 34 71 13 20,エンベロープ,なし,https://s3-ap-northeast-1.amazonaws.com/hirogete-data-user/label-data/6272/MERGE-1731025027709-cxrkltxom4l.pdf,,,,,,,,,,,,,,,,,,,,,,,
発送済み,広島から発送,7284,スイッチライト,ブルー,1,57 30 34 71 13 20,エンベロープ,なし,https://s3-ap-northeast-1.amazonaws.com/hirogete-data-user/label-data/6272/MERGE-1731025202298-6eoaywhgq1h.pdf,,,,,,,,,,,,,,,,,,,,,,,
発送済み,広島から発送,7285,スイッチライト,イエロー,1,57 30 34 71 13 20,エンベロープ,なし,https://s3-ap-northeast-1.amazonaws.com/hirogete-data-user/label-data/6272/MERGE-1731027764104-s640h7jb4rr.pdf,,,,,,,,,,,,,,,,,,,,,,,
