157.015007,(ドル),※インボイス08・65だけドル,,,,ルカ宛発送管理,ルカ・自社サイト,ルカ・インスタ,ルカ共有スプシ,
182.7675,(ユーロ),,,,,https://docs.google.com/spreadsheets/d/133cDct4krrsJDeXpO9l0fIrd3-ZYDc39u6-JpQvcxv4/edit?gid=825416529#gid=825416529,PS Vita 2000 in khaki schwarz gemoddet - 3DSRenew,https://www.instagram.com/3dsrenew/,Shipping Management,
,,,,,,,,,,
New 3DS LL,販売価格,販売価格(￥),インボイス,日付,,New 2DS LL,販売価格,販売価格(￥),インボイス,日付
〃,115,21018.2625,0041,Sun Sep 08 2024 00:00:00 GMT+0900 (Japan Standard Time),,8GB,5,913.8375000000001,0018,Sun Jul 07 2024 00:00:00 GMT+0900 (Japan Standard Time)
,,,,,,16GB,10,1827.6750000000002,0018,Sun Jul 07 2024 00:00:00 GMT+0900 (Japan Standard Time)
ブラック,105,19190.5875,0016,Sun Jul 07 2024 00:00:00 GMT+0900 (Japan Standard Time),,32GB,20,3655.3500000000004,0018,Sun Jul 07 2024 00:00:00 GMT+0900 (Japan Standard Time)
,,,,,,,,,,
ホワイト,105,19190.5875,0016,Sun Jul 07 2024 00:00:00 GMT+0900 (Japan Standard Time),,,,,,
〃,〃,〃,0026,Wed Jul 31 2024 00:00:00 GMT+0900 (Japan Standard Time),,,,,,
〃,108,19738.890000000003,0041,Sun Sep 08 2024 00:00:00 GMT+0900 (Japan Standard Time),,,,,,
〃,112,20469.960000000003,0049,Mon Sep 23 2024 00:00:00 GMT+0900 (Japan Standard Time),,,,,,
,,,,,,,,,,
ライトブルー・ホワイト,105,19190.5875,0016,Sun Jul 07 2024 00:00:00 GMT+0900 (Japan Standard Time),,,,,,
〃,100,18276.75,0041,Sun Sep 08 2024 00:00:00 GMT+0900 (Japan Standard Time),,,,,,
,,,,,,,,,,
アクアブルー,105,19190.5875,0020,Sun Jul 14 2024 00:00:00 GMT+0900 (Japan Standard Time),,,,,,
〃,108,19738.890000000003,0041,Sun Sep 08 2024 00:00:00 GMT+0900 (Japan Standard Time),,,,,,
〃,110,20104.425000000003,0049,Mon Sep 23 2024 00:00:00 GMT+0900 (Japan Standard Time),,,,,,
,,,,,,,,,,
ブルー・ブラック,110,20104.425000000003,0026,Wed Jul 31 2024 00:00:00 GMT+0900 (Japan Standard Time),,,,,,
〃,108,19738.890000000003,0041,Sun Sep 08 2024 00:00:00 GMT+0900 (Japan Standard Time),,,,,,
,,,,,,,,,,
カーキ,115,21018.2625,0026,Wed Jul 31 2024 00:00:00 GMT+0900 (Japan Standard Time),,,,,,
,,,,,,,,,,
シルバー,125,22845.9375,26・86,7/31・11/5,,,,,,
