取引相手,No.,支払い日,商品名,注文数,商品価格,通貨,商品価格(円),状況,,仕入れ,東京からの発送(仕入れ終了),,数量×商品価格(円),仕入れ合計,還付,送料(1つ550円),還付込み利益,累積利益,,,,,,,,,,,
サミー,221,Fri Mar 21 2025 09:00:00 GMT+0900 (Japan Standard Time),New 2DSLL,5,155,ドル,23172.5,complete,,,,,115862.5,117243,6435,1500,3554.5,1832910.4209090911,,,,,,,,,,,
サミー,221,Fri Mar 21 2025 09:00:00 GMT+0900 (Japan Standard Time),Vita 1000,5,120,ドル,17940,complete,,,,,89700,75750,6886.363636363636,1500,19336.363636363636,1852246.7845454547,,,,,,,,,,,
サミー,229,Tue Apr 01 2025 09:00:00 GMT+0900 (Japan Standard Time),PS Vita,22,115,ドル,17213.2,complete,,,,,378690.4,348748,31704,6600,55046.40000000002,2480435.520909091,,,,,,,,,,,
サミー,230,Tue Apr 01 2025 09:00:00 GMT+0900 (Japan Standard Time),New 2DSLL,4,158,ドル,23649.440000000002,complete,,,,,94597.76000000001,99456,9041,1200,2982.7600000000093,2483418.2809090912,,,,,,,,,,,
サミー,231,Thu Apr 03 2025 09:00:00 GMT+0900 (Japan Standard Time),New 3DSLL,18,190,ドル,28490.499999999996,complete,,,,,512828.99999999994,486937,15289,5400,35780.99999999994,35780.99999999994,,,,,,,,,,,
サミー,232,Thu Apr 03 2025 09:00:00 GMT+0900 (Japan Standard Time),New 3DS,10,180,ドル,26990.999999999996,complete,,,,,269909.99999999994,259451,14202,3000,21660.99999999994,57441.99999999988,,,,,,,,,,,
サミー,233,Fri Apr 04 2025 09:00:00 GMT+0900 (Japan Standard Time),PSP3000,30,72,ドル,10478.16,complete,,,,,314344.8,270000,24545.454545454544,9000,59890.25454545453,117332.25454545442,,,,,,,,,,,
サミー,250,Fri Apr 11 2025 09:00:00 GMT+0900 (Japan Standard Time),DS lite ランダムカラー,20,45,ドル,6463.349999999999,complete,,,,,129266.99999999999,115944,8315,6000,15637.999999999985,1140324.1090909091,,,,,,,,,,,
サミー,257,Mon Apr 21 2025 09:00:00 GMT+0900 (Japan Standard Time),New 2DSLL,7,158,ドル,22262.2,complete,,,,,155835.4,153480,11835,2100,12090.399999999994,1554201.5545454544,,,,,,,,,,,
サミー,257,Mon Apr 21 2025 09:00:00 GMT+0900 (Japan Standard Time),PS Vita 1000,11,120,ドル,16908,complete,,,,,185988,178612,13460,3300,17536,1571737.5545454544,,,,,,,,,,,
サミー,267,Sat May 03 2025 09:00:00 GMT+0900 (Japan Standard Time),New 3DSLL,20,200,ドル,28794,complete,,,,,575880,522832,24396,6000,71444,71444,,,,,,,,,,,
サミー,268,Fri May 02 2025 09:00:00 GMT+0900 (Japan Standard Time),New 3DS,20,205,ドル,29513.85,complete,,,,,590277,529557,24009,6000,78729,150173,,,,,,,,,,,
サミー,287,Sat May 31 2025 09:00:00 GMT+0900 (Japan Standard Time),PS Vita 2000,40,105,ドル,15149.4,complete,,,,,605976,605730,53780,12000,42026,1296157.1818181819,,,,,,,,,,,
サミー,287,Sat May 31 2025 09:00:00 GMT+0900 (Japan Standard Time),PS Vita 1000,13,113,ドル,16303.64,complete,,,,,211947.32,202488,18408,3900,23967.320000000007,1320124.501818182,,,,,,,,,,,
サミー,292,Sat Jun 21 2025 09:00:00 GMT+0900 (Japan Standard Time),PSP3000,30,72,ドル,10522.800000000001,complete,,,,,315684.00000000006,270000,24545.454545454544,9000,61229.4545454546,61229.4545454546,,,,,,,,,,,
サミー,317,Wed Sep 24 2025 09:00:00 GMT+0900 (Japan Standard Time),PSP3000,30,70,ドル,10415.3,complete,,,,,312459,270000,24545,9000,58004,618610.9909090908,,,,,,,,,,,
サミー,317,Wed Sep 24 2025 09:00:00 GMT+0900 (Japan Standard Time),PSP3000,10,80,ドル,11903.199999999999,complete,,,,,119031.99999999999,108939,3800,3000,10892.999999999985,629503.9909090908,,,,,,,,,,,
サミー,320,Sun Oct 05 2025 09:00:00 GMT+0900 (Japan Standard Time),3DS ランダムカラー,20,92.5,ドル,13638.199999999999,complete,,,,,272764,224120,19420,6000,62064,766551.9909090908,,,,,,,,,,,
サミー,326,Sun Nov 02 2025 09:00:00 GMT+0900 (Japan Standard Time),PSP GO ランダムカラー,15,115,ドル,17704.25,complete,,,,,265563.75,247795,6629,4500,19897.75,19897.75,,,,,,,,,,,
サミー,326,Sun Nov 02 2025 09:00:00 GMT+0900 (Japan Standard Time),DSiLL ランダムカラー,15,83,ドル,12777.849999999999,complete,,,,,191667.74999999997,142903,12991,4500,57255.74999999997,77153.49999999997,,,,,,,,,,,
サミー,330,Sat Nov 08 2025 09:00:00 GMT+0900 (Japan Standard Time),3DS ランダムカラー,20,90,ドル,13818.599999999999,complete,,,,,276372,227799,19639,6000,62212,230419.04545454547,,,,,,,,,,,
サミー,331,Sun Nov 16 2025 09:00:00 GMT+0900 (Japan Standard Time),3DSLL,16,115,ドル,17714.6,complete,,,,,283433.6,269470,24497,4800,33660.59999999998,264079.64545454545,,,,,,,,,,,
サミー,334,Wed Nov 19 2025 09:00:00 GMT+0900 (Japan Standard Time),DSiLL ランダムカラー,25,77,ドル,11978.12,complete,,,,,299453,220000,15547,7500,87500,397696.7954545454,,,,,,,,,,,
サミー,335,Thu Nov 20 2025 09:00:00 GMT+0900 (Japan Standard Time),Vita1000 レッド&ブルー,7,118,ドル,18360.8,complete,,,,,128525.59999999999,108165,8424,2100,26684.59999999999,424381.3954545454,,,,,,,,,,,
サミー,335,Thu Nov 20 2025 09:00:00 GMT+0900 (Japan Standard Time),Vita2000 レッド&オレンジ,4,118,ドル,18360.8,complete,,,,,73443.2,65910,5992,1200,12325.199999999997,436706.5954545454,,,,,,,,,,,
サミー,335,Thu Nov 20 2025 09:00:00 GMT+0900 (Japan Standard Time),Vita2000 アクアブルー,3,115,ドル,17894,complete,,,,,53682,48000,4363.636363636364,900,9145.636363636364,445852.23181818175,,,,,,,,,,,
サミー,339,Sat Dec 06 2025 09:00:00 GMT+0900 (Japan Standard Time),New 2DSLL ラベンダー,3,200,ドル,31074,complete,,,,,93222,86158,7833,900,13997,61141,,,,,,,,,,,
サミー,339,Sat Dec 06 2025 09:00:00 GMT+0900 (Japan Standard Time),New 2DSLL オレンジ、ブルー、グリーン,9,165,ドル,25636.05,complete,,,,,230724.44999999998,241650,21968,2700,8342.449999999983,69483.44999999998,,,,,,,,,,,
サミー,342,Mon Dec 08 2025 09:00:00 GMT+0900 (Japan Standard Time),2DS ランダムカラー,10,100,ドル,15511.000000000002,complete,,,,,155110.00000000003,159140,10030,3000,3000.000000000029,134242.45,,,,,,,,,,,
サミー,343,Tue Dec 09 2025 09:00:00 GMT+0900 (Japan Standard Time),PSP3000,25,65,ドル,10189.4,complete,,,,,254735,225000,20454.545454545456,7500,42689.545454545456,176931.99545454548,,,,,,,,,,,
サミー,345,Mon Dec 15 2025 09:00:00 GMT+0900 (Japan Standard Time),Vita2000 レッド、ホワイト,10,150,ドル,23389.5,complete,,,,,233895,218708,14189,3000,26376,227928.74545454548,,,,,,,,,,,
サミー,345,Mon Dec 15 2025 09:00:00 GMT+0900 (Japan Standard Time),Vita2000 シルバー,1,160,ドル,24948.800000000003,complete,,,,,24948.800000000003,32160,2924,300,-4587.199999999997,223341.54545454547,,,,,,,,,,,
サミー,346,Mon Dec 15 2025 09:00:00 GMT+0900 (Japan Standard Time),Vita 1000 レッド、ブルー、ホワイト,15,150,ドル,23389.5,complete,,,,,350842.5,313095,17872,4500,51119.5,274461.04545454547,,,,,,,,,,,
サミー,347,Mon Dec 15 2025 09:00:00 GMT+0900 (Japan Standard Time),Vita 1000 ブラック,5,130,ドル,20270.9,complete,,,,,101354.5,90550,6614,1500,15918.5,290379.54545454547,,,,,,,,,,,
サミー,347,Mon Dec 15 2025 09:00:00 GMT+0900 (Japan Standard Time),Vita 2000 オレンジ、ブルー,10,135,ドル,21050.55,complete,,,,,210505.5,196388,14637,3000,25754.5,316134.04545454547,,,,,,,,,,,
サミー,350,Fri Jan 02 2026 09:00:00 GMT+0900 (Japan Standard Time),PSP 3000 レッド、ブラック、ブルー、ホワイト,20,65,ドル,10195.900000000001,complete,,,,,203918.00000000003,194410,17674,6000,21182.00000000003,21182.00000000003,,,,,,,,,,,
サミー,350,Fri Jan 02 2026 09:00:00 GMT+0900 (Japan Standard Time),PSP 3000 ピンク,5,60,ドル,9411.6,complete,,,,,47058,70950,6450,1500,-18942,2240.000000000029,,,,,,,,,,,
サミー,350,Fri Jan 02 2026 09:00:00 GMT+0900 (Japan Standard Time),PSP 3000 グリーン,5,110,ドル,17254.600000000002,complete,,,,,86273.00000000001,82140,7467,1500,10100.000000000015,12340.000000000044,,,,,,,,,,,
サミー,350,Fri Jan 02 2026 09:00:00 GMT+0900 (Japan Standard Time),PSP 3000 ゴールド、シルバー,10,135,ドル,21176.100000000002,complete,,,,,211761.00000000003,173690,14445,3000,49516.00000000003,61856.00000000007,,,,,,,,,,,
サミー,352,Tue Jan 20 2026 09:00:00 GMT+0900 (Japan Standard Time),PSP 3000 ブルー,2,65,ドル,10271.95,complete,,,,,20543.9,18000,1636.3636363636363,600,3580.2636363636375,115257.46363636371,,,,,,,,,,,
サミー,352,Tue Jan 20 2026 09:00:00 GMT+0900 (Japan Standard Time),PSP 3000 ブルー ダメージあり,2,60,ドル,9481.8,complete,,,,,18963.6,17000,1545.4545454545455,600,2909.054545454544,118166.51818181826,,,,,,,,,,,
